,Age,Gender,Country,Mental health issue inteferes with work,Do you work remotely?,mental health benefits by employer,Negative impacts from discussing mental health issues with employer,Comfortable discussing mental health issues with corworkers,Comfortable discussing mental health issues with direct supervisor(s),Bring up mental health issues in an interview,year,Diagonosed with a mental health condition,Mental health conditionn(s)
1271,34.0,Male,United States of America,Rarely,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1272,30.0,Female,United States of America,Sometimes,Yes,Yes,No,Yes,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1274,35.0,Male,United States of America,Sometimes,Yes,Yes,No,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder"
1275,52.0,Male,United States of America,Sometimes,Sometimes,Don't know,Maybe,Maybe,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1278,25.0,Female,United States of America,Often,Yes,,,,,No,2016,Yes,"Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Attention Deficit Hyperactivity Disorder"
1279,31.0,Male,United States of America,Sometimes,Sometimes,Don't know,Yes,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1280,26.0,Male,United States of America,Not applicable to me,Sometimes,No,No,Maybe,No,No,2016,No,
1281,35.0,Male,United States of America,Not applicable to me,No,Yes,No,Maybe,Yes,No,2016,No,
1284,38.0,Male,United States of America,Not applicable to me,Sometimes,,,,,Maybe,2016,No,
1291,30.0,Male,United States of America,Sometimes,Sometimes,Yes,No,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder"
1292,31.0,Male,United States of America,Often,No,Don't know,Maybe,No,No,No,2016,No,
1296,44.0,Male,United States of America,Often,Yes,Yes,No,Yes,No,Yes,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1300,34.0,Male,United States of America,Sometimes,Sometimes,,,,,No,2016,No,
1301,40.0,Male,United States of America,Sometimes,Yes,Yes,No,Maybe,No,Maybe,2016,No,
1304,41.0,Male,United States of America,Not applicable to me,No,No,Maybe,No,No,No,2016,No,
1305,33.0,Male,United States of America,Often,Sometimes,Yes,Maybe,Maybe,I don't know,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1306,32.0,Male,United States of America,Often,Sometimes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder|Addictive Disorder"
1307,45.0,Male,United States of America,Sometimes,Sometimes,Don't know,Maybe,No,No,Maybe,2016,No,
1309,37.0,Female,United States of America,Often,Yes,Yes,No,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder"
1311,27.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,Yes,No,Yes,2016,No,
1313,36.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1314,34.0,Male,United States of America,Often,Yes,Yes,Maybe,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1315,31.0,Female,United States of America,Not applicable to me,Sometimes,Yes,Maybe,Yes,Yes,No,2016,No,
1316,30.0,Male,United States of America,Often,No,Yes,No,Yes,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1318,40.0,Female,United States of America,Not applicable to me,Sometimes,Yes,No,No,No,No,2016,No,
1319,40.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Maybe,Maybe,No,Maybe,2016,No,
1322,30.0,Male,United States of America,Not applicable to me,Sometimes,Yes,No,Yes,No,Maybe,2016,No,
1326,35.0,Female,United States of America,Often,No,No,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1327,29.0,Male,United States of America,Often,Yes,Yes,Maybe,No,Yes,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1328,28.0,Male,United States of America,Not applicable to me,No,Yes,Maybe,No,No,No,2016,No,
1332,46.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Yes,No,No,No,2016,No,
1334,37.0,Male,United States of America,Sometimes,Yes,Yes,No,Maybe,No,No,2016,No,
1338,33.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Maybe,No,No,No,2016,No,
1339,33.0,Male,United States of America,Sometimes,Yes,Yes,No,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1343,35.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Maybe,No,Maybe,2016,No,
1345,45.0,Male,United States of America,Not applicable to me,No,Yes,Maybe,No,No,Yes,2016,No,
1348,30.0,Male,United States of America,Often,Sometimes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1349,24.0,Female,United States of America,Often,Sometimes,Don't know,No,Maybe,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1351,35.0,Male,United States of America,Often,Sometimes,Yes,Maybe,Maybe,I don't know,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1354,29.0,Female,United States of America,Often,Sometimes,Don't know,No,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1355,26.0,Male,United States of America,Often,Sometimes,Yes,No,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder"
1356,36.0,Female,United States of America,Not applicable to me,Yes,Don't know,No,Maybe,No,No,2016,No,
1357,46.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,No,Yes,Maybe,2016,No,
1359,28.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder"
1360,40.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,No,I don't know,No,2016,No,
1361,23.0,Male,United States of America,Often,Sometimes,Don't know,Yes,Maybe,No,No,2016,Yes,Attention Deficit Hyperactivity Disorder|PDD-NOS (see above)
1362,30.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Yes,No,Yes,2016,No,
1363,28.0,Female,United States of America,Not applicable to me,Sometimes,Don't know,Maybe,No,I don't know,No,2016,No,
1365,31.0,Male,United States of America,Often,Yes,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1366,39.0,Female,United States of America,Sometimes,No,Yes,Maybe,Maybe,No,Maybe,2016,No,
1367,34.0,Female,United States of America,Sometimes,Yes,Yes,Maybe,Maybe,No,Maybe,2016,Yes,Seasonal Affective Disorder
1368,30.0,Male,United States of America,Often,Sometimes,Yes,No,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1370,31.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Yes,No,Yes,2016,No,
1371,30.0,Male,United States of America,Often,Yes,Yes,No,Yes,Yes,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1372,32.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Yes,No,No,No,2016,No,
1375,51.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,Maybe,No,Maybe,2016,No,
1376,26.0,Male,United States of America,Often,Sometimes,Don't know,No,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder"
1377,41.0,Female,United States of America,Often,Sometimes,Yes,No,Yes,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1378,39.0,Female,United States of America,Often,Sometimes,Don't know,No,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1379,43.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder"
1381,24.0,Female,United States of America,Not applicable to me,Sometimes,Yes,No,Maybe,Yes,No,2016,No,
1384,48.0,Female,United States of America,Sometimes,Sometimes,,,,,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1385,55.0,Female,United States of America,Often,Yes,,,,,Maybe,2016,No,
1386,36.0,Female,United States of America,Often,Sometimes,Don't know,Yes,Yes,Yes,No,2016,No,
1389,44.0,Female,United States of America,Not applicable to me,Sometimes,Yes,Maybe,No,No,No,2016,No,
1390,45.0,Male,United States of America,Sometimes,Sometimes,Don't know,Maybe,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Suicidal Ideation"
1391,45.0,Male,United States of America,Often,Sometimes,Yes,Yes,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1392,30.0,Male,United States of America,Sometimes,Sometimes,No,Yes,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1393,34.0,Male,United States of America,Rarely,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,Attention Deficit Hyperactivity Disorder
1394,37.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Maybe,Yes,No,2016,No,
1395,38.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,No,No,Maybe,2016,No,
1396,31.0,Male,United States of America,Sometimes,Sometimes,Yes,No,No,No,No,2016,Yes,Attention Deficit Hyperactivity Disorder
1397,33.0,Male,United States of America,Not applicable to me,Yes,Don't know,No,Yes,No,Maybe,2016,No,
1398,29.0,Female,United States of America,Sometimes,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1399,35.0,Male,United States of America,Sometimes,Sometimes,Yes,No,Yes,Yes,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1401,26.0,Female,United States of America,Not applicable to me,Sometimes,Don't know,Yes,No,No,No,2016,No,
1402,36.0,Female,United States of America,Sometimes,Yes,Yes,Maybe,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1404,34.0,Female,United States of America,Often,Sometimes,Yes,Maybe,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1406,35.0,Male,United States of America,Often,Sometimes,Yes,Yes,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1407,44.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,No,No,2016,No,
1409,45.0,Male,United States of America,Not applicable to me,Sometimes,No,Yes,No,No,No,2016,No,
1410,42.0,Male,United States of America,Sometimes,Sometimes,Yes,No,Maybe,I don't know,Yes,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1411,40.0,Male,United States of America,Sometimes,Yes,,,,,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1412,50.0,Female,United States of America,Often,Yes,,,,,No,2016,Yes,Depression
1413,36.0,Male,United States of America,Sometimes,Yes,Yes,Maybe,Maybe,I don't know,Maybe,2016,No,
1414,31.0,Female,United States of America,Often,Yes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1415,29.0,Male,United States of America,Not applicable to me,Yes,Don't know,No,Yes,Yes,Maybe,2016,No,
1416,37.0,Male,United States of America,Not applicable to me,No,Yes,Maybe,Yes,No,Maybe,2016,No,
1417,31.0,Male,United States of America,Often,Sometimes,No,Yes,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Substance Use Disorder"
1419,25.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,No,No,No,2016,No,
1420,27.0,Male,United States of America,Often,Sometimes,Yes,No,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1421,41.0,Female,United States of America,Often,No,Yes,Maybe,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1422,41.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Maybe,No,No,2016,No,
1423,55.0,Female,United States of America,Not applicable to me,No,Yes,Yes,No,Yes,No,2016,No,
1424,21.0,Male,United States of America,Not applicable to me,No,Yes,Maybe,Maybe,Yes,Maybe,2016,No,
1431,35.0,Male,United States of America,Not applicable to me,Yes,Don't know,Maybe,Maybe,No,Maybe,2016,No,
1432,37.0,Male,United States of America,Not applicable to me,Yes,No,Maybe,Maybe,No,No,2016,No,
1433,45.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,No,No,No,2016,No,
1434,26.0,Male,United States of America,Often,No,No,Maybe,Yes,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Stress Response Syndromes"
1435,23.0,Male,United States of America,Not applicable to me,Sometimes,Yes,Maybe,Maybe,No,No,2016,No,
1436,22.0,Female,United States of America,Often,Sometimes,Yes,Maybe,No,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1437,46.0,Female,United States of America,Often,Yes,Don't know,No,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1439,27.0,Male,United States of America,Often,Yes,Yes,No,Yes,I don't know,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1444,40.0,Male,United States of America,Often,No,Yes,Maybe,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)"
1446,37.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,Yes,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1447,34.0,Female,United States of America,Not applicable to me,No,Yes,No,Yes,I don't know,No,2016,No,
1448,40.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1449,39.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,Substance Use Disorder
1450,28.0,Male,United States of America,Sometimes,Yes,Yes,Maybe,Maybe,I don't know,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1454,49.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Yes,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1458,32.0,Male,United States of America,Often,Sometimes,Yes,Maybe,Yes,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1459,42.0,Male,United States of America,Often,Sometimes,Yes,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1460,33.0,Female,United States of America,Often,Yes,Yes,Maybe,Maybe,No,No,2016,No,
1463,29.0,Female,United States of America,Sometimes,Sometimes,Yes,No,Yes,No,Yes,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder"
1464,29.0,Male,United States of America,Sometimes,Yes,Don't know,Maybe,Maybe,No,No,2016,No,
1467,30.0,Male,United States of America,Often,Yes,Don't know,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder"
1468,44.0,Male,United States of America,Often,Yes,No,Yes,No,No,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1471,42.0,Male,United States of America,Sometimes,Yes,Yes,No,Maybe,I don't know,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1475,29.0,Male,United States of America,Not applicable to me,Yes,Don't know,Maybe,No,No,Maybe,2016,No,
1476,25.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Maybe,Maybe,I don't know,No,2016,No,
1482,35.0,Male,United States of America,Not applicable to me,No,Don't know,No,Maybe,No,Maybe,2016,No,
1485,29.0,Female,United States of America,Often,Yes,Yes,Maybe,Maybe,No,No,2016,No,
1488,30.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,Yes,No,Maybe,2016,No,
1489,29.0,Female,United States of America,Sometimes,No,Yes,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder"
1490,25.0,Female,United States of America,Often,Sometimes,Don't know,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1491,27.0,Male,United States of America,Not applicable to me,No,Yes,No,Maybe,Yes,Yes,2016,No,
1493,38.0,Female,United States of America,Not applicable to me,Yes,Yes,No,Yes,I don't know,Maybe,2016,No,
1494,49.0,Male,United States of America,Sometimes,Sometimes,Yes,Yes,Maybe,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1495,30.0,Male,United States of America,Not applicable to me,Sometimes,Yes,No,Yes,No,Yes,2016,No,
1498,29.0,Male,United States of America,Sometimes,Sometimes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1501,28.0,Male,United States of America,Often,Sometimes,Don't know,Maybe,Yes,No,Maybe,2016,No,
1505,37.0,Female,United States of America,Sometimes,Sometimes,Don't know,Maybe,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1507,31.0,Female,United States of America,Often,Yes,No,No,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Dissociative Disorder"
1508,36.0,Male,United States of America,Not applicable to me,No,No,Maybe,No,No,No,2016,No,
1509,30.0,Male,United States of America,Often,No,Yes,Maybe,Maybe,No,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1512,30.0,Female,United States of America,Often,Sometimes,Yes,No,Maybe,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Post-traumatic Stress Disorder"
1513,30.0,Male,United States of America,Often,Sometimes,Yes,Maybe,Maybe,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder"
1514,29.0,Male,United States of America,Often,Yes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1516,28.0,Male,United States of America,Often,No,Yes,No,Maybe,Yes,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1517,36.0,Male,United States of America,Often,Sometimes,Yes,No,Maybe,I don't know,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1518,37.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1519,29.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,No,No,2016,No,
1520,25.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,I don't know,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder"
1521,34.0,Female,United States of America,Not applicable to me,Sometimes,Yes,No,Maybe,Yes,No,2016,No,
1523,40.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1524,32.0,Male,United States of America,Sometimes,Yes,Yes,Yes,Maybe,Yes,No,2016,No,
1526,31.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Maybe,Yes,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder"
1527,28.0,Female,United States of America,Often,Sometimes,Yes,No,Yes,I don't know,Maybe,2016,No,
1529,28.0,Female,United States of America,Often,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1531,40.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,Yes,Yes,2016,No,
1532,42.0,Male,United States of America,Often,Sometimes,Yes,No,Yes,Yes,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1533,36.0,Male,United States of America,Not applicable to me,No,Yes,No,Maybe,I don't know,No,2016,No,
1535,24.0,Male,United States of America,Often,No,Yes,Maybe,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1536,44.0,Male,United States of America,Sometimes,No,Don't know,Yes,No,No,Maybe,2016,No,
1537,31.0,Male,United States of America,Sometimes,Yes,Yes,No,Yes,I don't know,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1538,49.0,Male,United States of America,Often,Sometimes,,,,,No,2016,No,
1539,27.0,Female,United States of America,Not applicable to me,Sometimes,Yes,Maybe,Maybe,Yes,Maybe,2016,No,
1540,27.0,Male,United States of America,Sometimes,Yes,Yes,No,No,I don't know,No,2016,No,
1541,28.0,Male,United States of America,Not applicable to me,Sometimes,Yes,No,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1542,20.0,Female,United States of America,Sometimes,No,Yes,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1545,29.0,Male,United States of America,Sometimes,No,Don't know,Yes,No,No,No,2016,No,
1546,44.0,Female,United States of America,Often,Yes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder"
1547,31.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,No,No,Yes,2016,No,
1548,54.0,Male,United States of America,Often,Sometimes,No,Yes,No,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1554,38.0,Female,United States of America,Never,Sometimes,Don't know,Yes,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)"
1565,39.0,Male,United States of America,Not applicable to me,Yes,Don't know,Maybe,Maybe,No,Maybe,2016,No,
1568,63.0,Male,United States of America,Often,Yes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder"
1573,35.0,Male,United States of America,Rarely,Yes,No,Maybe,Maybe,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1575,35.0,Female,United States of America,Sometimes,Yes,,,,,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1576,36.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,No,Yes,No,Maybe,2016,No,
1577,50.0,Male,United States of America,Sometimes,Sometimes,Yes,Maybe,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder"
1578,31.0,Male,United States of America,Rarely,Sometimes,Don't know,No,Maybe,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder"
1579,47.0,Male,United States of America,Often,No,Yes,Maybe,Yes,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1589,35.0,Male,United States of America,Not applicable to me,Sometimes,Don't know,Yes,Maybe,No,No,2016,No,
1591,38.0,Female,United States of America,Often,Sometimes,Yes,No,Yes,No,No,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1594,29.0,Male,United States of America,Often,Yes,No,No,Yes,Yes,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
1595,40.0,Male,United States of America,Often,Yes,Yes,No,Maybe,No,Yes,2016,No,
1596,25.0,Female,United States of America,Often,Sometimes,Yes,No,Yes,Yes,Maybe,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder"
1598,29.0,Female,United States of America,Often,Sometimes,Yes,No,Yes,Yes,Maybe,2016,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)"
1600,25.0,Male,United States of America,Not applicable to me,Sometimes,,,,,No,2016,No,
1601,43.0,Male,United States of America,Often,Sometimes,No,No,Maybe,No,Yes,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Obsessive-Compulsive Disorder|Post-traumatic Stress Disorder"
1604,31.0,Female,United States of America,Not applicable to me,Yes,Yes,No,Maybe,I don't know,Yes,2016,No,
1605,45.0,Female,United States of America,Sometimes,Yes,Don't know,Maybe,No,No,No,2016,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)"
